IDX,GR,MAB,MORF,CAT
40001001001,βιβλος,863,Sust/N-Sn-Fn,llibre/(rotllo)
40001001002,γενεσεως,945,Sust/GA-Sn-Fn,(d’) ascendència
40001001003,ιησου,N238,Sust/GA-Sn-Ms,(de) Jesús
40001001004,χριστου,N574,Sust/GA-Sn-Ms,(de) Crist/Ungit
40001001005,υιου,4501,Sust/GA-Sn-Ms,(de) fill
40001001006,δαυιδ,N136,Sust/Pro-Ind,de David
40001001008,αβρααμ,N8,Sust/Pro-Ind,d'Abraham
40001002001,αβρααμ,N8,Sust/Pro-Ind,Abraham
40001002002,εγεννησεν,948,Verbo/A-Act-Ind-3-Sn,va engendrar
40001002003,τον,3044,Art-Def/Ac-Sn-Ms,el/(la)
40001002004,ισαακ,N253,Sust/Pro-Ind,Isaac
40001002006,δε,1016,Conj,però/(i)/(no obstant això)/(d'altra banda)
40001002009,ιακωβ,N220,Sust/Pro-Ind,Jacob
40001002014,ιουδαν,N248,Sust/Ac-Sn-Ms,Judà
40001002015,και,2236,Conj,i/també
40001002016,τους,3044,Art-Def/Ac-Pl-Ms,els/(les)
40001002017,αδελφους,68,Sust/Ac-Pl-Ms,germans
40001002018,αυτου,761,Pro-Per/GA-Sn-Ms,(d’) ell/el seu/els seus
40001003001,ιουδας,N248,Sust/N-Sn-Ms,Judà
40001003005,φαρες,N545,Sust/Pro-Ind,Fares
40001003008,ζαρα,N195,Sust/Pro-Ind,Zara
40001003009,εκ,1373,Prep,de/del/procedent de/fora de
40001003010,της,3044,Art-Def/GA-Sn-Fn,(de) la/(el)
40001003011,θαμαρ,N211,Sust/Pro-Ind,Tamar
40001003016,εσρωμ,N182,Sust/Pro-Ind,Esróm
40001003021,αραμ,N52,Sust/Pro-Ind,Aram
40001004005,αμιναδαβ,N32,Sust/Pro-Ind,Aminadab
40001004010,ναασσων,N379,Sust/Pro-Ind,Naasson
40001004015,σαλμων,N461,Sust/Pro-Ind,Salmó
40001005005,βοοζ,N108,Sust/Pro-Ind,Boaz
40001005008,ραχαβ,3890,Sust/Pro-Ind,Rahab
40001005009,βοοζ,N108,Sust/Pro-Ind,Booz
40001005013,ωβηδ,N266,Sust/Pro-Ind,Obed
40001005016,ρουθ,N448,Sust/Pro-Ind,Rut
40001005021,ιεσσαι,N235,Sust/Pro-Ind,Jessai/Jessè
40001006005,δαυιδ,N136,Sust/Pro-Ind,David
40001006007,βασιλεα,833,Sust/Ac-Sn-Ms,rei
40001006010,ο,3044,Art-Def/N-Sn-Ms,el/(la)
40001006011,βασιλευς,833,Sust/N-Sn-Ms,rei
40001006014,σολομωνα,N499,Sust/Ac-Sn-Ms,Salomó
40001006017,του,3044,Art-Def/GA-Sn-Ms,del/de el/(la)
40001006018,ουριου,N409,Sust/GA-Sn-Ms,(d’) Uries
40001007001,σολομων,N499,Sust/N-Sn-Ms,Salomó
40001007005,ροβοαμ,N445,Sust/Pro-Ind,Roboam
40001007010,αβια,N4,Sust/Pro-Ind,Abies
40001007015,ασα,N67,Sust/Pro-Ind,Asà
40001008005,ιωσαφατ,N273,Sust/Pro-Ind,Josafat
40001008010,ιωραμ,N271,Sust/Pro-Ind,Joram
40001008015,οζιαν,N404,Sust/Ac-Sn-Ms,Ozies
40001009001,οζιας,N404,Sust/N-Sn-Ms,Ozies
40001009005,ιωαθαμ,N261,Sust/Pro-Ind,Jotan
40001009010,αχαζ,N76,Sust/Pro-Ind,Acaz
40001009015,εζεκιαν,N152,Sust/Ac-Sn-Ms,Ezequies
40001010001,εζεκιας,N152,Sust/N-Sn-Ms,Ezequies
40001010005,μανασση,N356,Sust/Ac-Sn-Ms,Manassès
40001010006,μανασσης,N356,Sust/N-Sn-Ms,Manassès
40001010010,αμων,N35,Sust/Pro-Ind,Amon
40001010015,ιωσιαν,N277,Sust/Ac-Sn-Ms,Josies
40001011001,ιωσιας,N277,Sust/N-Sn-Ms,Josies
40001011005,ιεχονιαν,N237,Sust/Ac-Sn-Ms,Jeconies
40001011010,επι,1726,Prep,sobre/per/damunt
40001011012,μετοικεσιας,2855,Sust/GA-Sn-Fn,(de) canvi de casa/(deportació)
40001011013,βαβυλωνος,N81,Sust/GA-Sn-Fn,(de) Babilònia
40001012001,μετα,2830,Prep,amb/després
40001012003,την,3044,Art-Def/Ac-Sn-Fn,la/(el)
40001012004,μετοικεσιαν,2855,Sust/Ac-Sn-Fn,canvi de casa/(deportació)
40001012006,ιεχονιας,N237,Sust/N-Sn-Ms,Jeconies
40001012009,σαλαθιηλ,N457,Sust/Pro-Ind,Selafiel
40001012014,ζοροβαβελ,N200,Sust/Pro-Ind,Zorobabel
40001013005,αβιουδ,N7,Sust/Pro-Ind,Abihud
40001013010,ελιακειμ,N155,Sust/Pro-Ind,Eliaquim
40001013015,αζωρ,N17,Sust/Pro-Ind,Azor
40001014005,σαδωκ,N455,Sust/Pro-Ind,Sadoc
40001014010,αχειμ,N79,Sust/Pro-Ind,Aquim
40001014015,ελιουδ,N157,Sust/Pro-Ind,Eliüd
40001015005,ελεαζαρ,N154,Sust/Pro-Ind,Eleazar
40001015010,ματθαν,N360,Sust/Pro-Ind,Mattàn
40001016005,ιωσηφ,N275,Sust/Pro-Ind,Josep
40001016007,ανδρα,399,Sust/Ac-Sn-Ms,baró/(espòs)/(home)
40001016008,μαριας,N358,Sust/GA-Sn-Fn,(de) Maria
40001016009,εξ,1373,Prep,de/del/procedent de/fora de
40001016010,ης,3193,Pro-Rel/GA-Sn-Fn,(de) la qual/el qual/el que/la que
40001016011,εγεννηθη,948,Verbo/A-Pas-Ind-3-Sn,va ser nascut
40001016012,ιησους,N238,Sust/N-Sn-Ms,Jesús
40001016014,λεγομενος,2663,Verbo/Pre-Pas-Par-NSM,sent anomenat
40001016015,χριστος,N574,Sust/N-Sn-Ms,Crist/Ungit
40001017001,πασαι,3405,Adj/N-Pl-Fn,totes/(tots)
40001017002,ουν,3222,Conj,per tant/(aleshores)
40001017003,αι,3044,Art-Def/N-Pl-Fn,les/(els)
40001017004,γενεαι,941,Sust/N-Pl-Fn,generacions
40001017005,απο,525,Prep,de/des de
40001017007,εως,1990,Adv,fins/(mentre)
40001017010,δεκατεσσαρες,1035,Adj/N-Pl-Fn,catorze
40001018005,η,3044,Art-Def/N-Sn-Fn,la/(el)
40001018006,γεννησις,945,Sust/N-Sn-Fn,naixement
40001018007,ουτως,3232,Adv,així
40001018008,ην,1349,Verbo/I-Act-Ind-3-Sn,era/estava sent
40001018009,μνηστευθεισης,2915,Verbo/A-Pas-Par-GA-Sn-Fn,havent estat compromesa
40001018010,γαρ,932,Conj,perquè
40001018012,μητρος,2885,Sust/GA-Sn-Fn,(de) mare
40001018015,τω,3044,Art-Def/LID-Sn-Ms,(en/amb/per a/a) el/(la)
40001018017,πριν,3676,Adv,abans
40001018018,η,2017,Part-Dis,o
40001018019,συνελθειν,4241,Verbo/A2-Act-Inf,venir a ajuntar-se
40001018020,αυτους,761,Pro-Per/Ac-Pl-Ms,ells
40001018021,ευρεθη,1949,Verbo/A-Pas-Ind-3-Sn,va ser trobada
40001018022,εν,1543,Prep,a/entre/(dins de)
40001018023,γαστρι,933,Sust/LID-Sn-Fn,(en/amb/per a/a) ventre
40001018024,εχουσα,1989,Verbo/Pre-Act-Par-N-Sn-Fn,tenint
40001018026,πνευματος,3587,Sust/GA-Sn-Nt,(d’) esperit
40001018027,αγιου,31,Adj/GA-Sn-Nt,(de) sant / (sagrat)
40001019004,ανηρ,399,Sust/N-Sn-Ms,baró/home
40001019005,αυτης,761,Pro-Per/GA-Sn-Fn,(d’) ella
40001019006,δικαιος,1192,Adj/N-Sn-Ms,just/recte
40001019007,ων,1349,Verbo/Pre-Act-Par-N-Sn-Ms,sent / estant
40001019009,μη,2866,Part-Neg,no/(pas)
40001019010,θελων,2080,Verbo/Pre-Act-Par-N-Sn-Ms,volent/preferint
40001019011,αυτην,761,Pro-Per/Ac-Sn-Fn,ella
40001019012,παραδειγματισαι,3307,Verbo/A-Act-Inf,exhibir públicament/denunciar-la
40001019013,εβουληθη,895,Verbo/A-PasDep-Ind-3-Sn,va pretendre
40001019014,λαθρα,2642,Adv,secretament/privadament
40001019015,απολυσαι,576,Verbo/A-Act-Inf,despatxar/acomiadar/divorciar
40001020001,ταυτα,3231,Pro-Dem/Ac-Pl-Nt,aquestes (coses)
40001020004,ενθυμηθεντος,1584,Verbo/A-PasDep-Par-GA-Sn-Ms,havent reflexionat/pensat
40001020005,ιδου,3163,Verbo/A2-Act-Imp-2-Sn,heus aquí/(mira)
40001020006,αγγελος,23,Sust/N-Sn-Ms,àngel/missatger
40001020007,κυριου,2630,Sust/GA-Sn-Ms,(de) Senyor
40001020008,κατ,2286,Prep,contra/segons/(cap avall)
40001020009,οναρ,3135,Sust/Ind,somni
40001020010,εφανη,4607,Verbo/A2-Pas-Ind-3-Sn,va ser aparegut
40001020011,αυτω,761,Pro-Per/LID-Sn-Ms,(en/amb/per a/a) ell
40001020012,λεγων,2663,Verbo/Pre-Act-Par-N-Sn-Ms,dient
40001020014,υιος,4501,Sust/N-Sn-Ms,fill
40001020017,φοβηθης,4672,Verbo/A-PasDep-Sub-2-Sn,temis
40001020018,παραλαβειν,3329,Verbo/A2-Act-Inf,prendre amb tu
40001020019,μαριαμ,N358,Sust/Pro-Ind,Maria
40001020021,γυναικα,998,Sust/Ac-Sn-Fn,esposa / dona
40001020022,σου,4107,Pro-Per/2-GA-Sn,(de) tu/teu
40001020023,το,3044,Art-Def/N-Sn-Nt,el/la/(ho)
40001020026,αυτη,761,Pro-Per/LID-Sn-Fn,(en/amb/per a/a) ella
40001020027,γεννηθεν,948,Verbo/A-Pas-Par-N-Sn-Nt,havent estat engendrat/concebut
40001020030,εστιν,1349,Verbo/Pre-Act-Ind-3-Sn,és/està sent
40001021001,τεξεται,4404,Verbo/F-MedDep-Ind-3-Sn,donarà a llum
40001021003,υιον,4501,Sust/Ac-Sn-Ms,fill
40001021005,καλεσεις,2262,Verbo/F-Act-Ind-2-Sn,clamaràs/cridaràs/anomenaràs
40001021006,το,3044,Art-Def/Ac-Sn-Nt,el/la/(ho)
40001021007,ονομα,3142,Sust/Ac-Sn-Nt,nom
40001021009,ιησουν,N238,Sust/Ac-Sn-Ms,Jesús
40001021010,αυτος,761,Pro-Per/N-Sn-Ms,ell
40001021012,σωσει,4311,Verbo/F-Act-Ind-3-Sn,lliurarà
40001021014,λαον,2656,Sust/Ac-Sn-Ms,poble
40001021017,των,3044,Art-Def/GA-Pl-Fn,(de) les/(els)
40001021018,αμαρτιων,233,Sust/GA-Pl-Fn,(de) pecats / (equivocacions)
40001021019,αυτων,761,Pro-Per/GA-Pl-Ms,(d’) ells
40001022001,τουτο,3231,Pro-Dem/N-Sn-Nt,això
40001022003,ολον,3109,Adj/N-Sn-Nt,sencer/tot/complet
40001022004,γεγονεν,961,Verbo/P2-Act-Ind-3-Sn,ha succeït/esdevingut
40001022005,ινα,2184,Conj,perquè (per a que)
40001022006,πληρωθη,3573,Verbo/A-Pas-Sub-3-Sn,sigui complerta/completa
40001022008,ρηθεν,2663,Verbo/A-Pas-Par-N-Sn-Nt,paraula havent estat parlada
40001022009,υπο,4550,Prep,per/sota
40001022012,δια,1072,Prep,per mitjà/a través
40001022014,προφητου,3817,Sust/GA-Sn-Ms,(de) profeta/portaveu/intèrpret
40001022015,λεγοντος,2663,Verbo/Pre-Act-Par-GA-Sn-Ms, dient
40001023003,παρθενος,3384,Sust/N-Sn-Fn,verge
40001023006,εξει,1989,Verbo/F-Act-Ind-3-Sn,tindrà
40001023011,καλεσουσιν,2262,Verbo/F-Act-Ind-3-Pl,anomenaran/cridaran
